iterations,loss_c,loss_e,total_loss,error_c,error_u,error_v,error_p
129000,5.2664868235297035e-06,2.9279715363372816e-06,8.19445813249331e-06,0.00063494354,0.029327163,0.005900045,2.7202473
130000,5.376060016715201e-06,5.781620529887732e-06,1.1157681001350284e-05,0.0010119373,0.0050626188,0.029752309,2.4995537
131000,4.992209142073989e-06,2.7089288323622895e-06,7.701138201809954e-06,0.00046629203,0.00833208,0.13088107,2.1932259
132000,4.964979780197609e-06,5.92013202549424e-06,1.088511180569185e-05,2.788521e-05,0.0014195723,0.02409733,2.443866
133000,4.631094725482399e-06,6.140345703897765e-06,1.0771440429380164e-05,9.5355215e-05,0.011970758,0.07327794,2.4349513
134000,4.772002739628078e-06,3.5162738640792668e-06,8.288276148959994e-06,0.00063707936,0.00014294079,0.018888826,2.469892
135000,7.231569270516047e-06,6.433239377656719e-06,1.3664808648172766e-05,0.0005360983,0.0052400986,0.021193407,2.5777218
136000,4.541983344097389e-06,3.131309313175734e-06,7.673292202525772e-06,0.00010798498,0.009961899,0.04739323,2.533484
137000,4.796335360879311e-06,4.307260951463832e-06,9.103596312343143e-06,0.00032840198,0.0088672545,0.063301094,2.3764954
138000,5.902355951548088e-06,5.802387931908015e-06,1.1704743883456104e-05,1.904335e-05,0.007148294,0.023947252,2.6310792
139000,4.479054950934369e-06,2.0970685000065714e-05,2.544973904150538e-05,6.3675296e-05,0.006231268,0.0682583,2.3158538
140000,5.515523298527114e-06,3.1745648811920546e-06,8.690088179719169e-06,0.00059866416,0.0073046735,0.027556997,2.5911767
141000,4.671779606724158e-06,1.6324950138368877e-06,6.30427439318737e-06,0.00028358857,0.0028025727,0.02922179,2.2084465
142000,4.469946816243464e-06,4.082232408109121e-06,8.552178769605234e-06,0.00036659345,0.0063251113,0.06656077,2.2806256
143000,4.809630354429828e-06,2.6491479729884304e-06,7.458778327418258e-06,0.000295265,0.0067346795,0.1202705,2.3451
144000,6.002726877341047e-06,1.2472131857066415e-05,1.8474858734407462e-05,0.0006467469,0.0074552484,0.025319895,2.7186584
145000,6.100860900914995e-06,6.643833330599591e-06,1.2744694686261937e-05,0.0013262056,0.0070915706,0.060116697,2.429647
146000,4.9961358854488935e-06,7.265754902618937e-06,1.2261891242815182e-05,0.0008280383,0.010416533,0.04681402,2.5641463
147000,5.492101990967058e-06,2.846496045094682e-06,8.33859849080909e-06,0.00043097613,0.020334383,0.047655508,2.6783164
148000,5.056665031588636e-06,4.605586127581773e-06,9.66225161391776e-06,0.000918618,0.0012578465,0.12648469,2.309375
149000,4.715519935416523e-06,6.936968020454515e-06,1.1652487955871038e-05,0.0006220143,0.012153318,0.04250523,2.2888772
150000,4.762632215715712e-06,2.4028995539993048e-06,7.165531769715017e-06,3.2043104e-06,0.001434216,0.017725017,2.3067594
151000,7.606556664541131e-06,6.507189937110525e-06,1.4113746146904305e-05,0.0004610239,0.00959758,0.061967928,2.489534
152000,6.404411578841973e-06,5.744662303186487e-06,1.214907388202846e-05,0.0013450693,0.08012015,0.15494725,2.4522195
153000,6.187324743223144e-06,1.625985896680504e-05,2.2447184164775535e-05,0.0018383642,0.0037667486,0.08197756,2.4079444
154000,4.5619876800628845e-06,4.672856448451057e-06,9.23484367376659e-06,0.00018734159,0.009438566,0.022908257,2.6812356
155000,4.137002633797238e-06,5.091364073450677e-06,9.228366252500564e-06,5.009553e-05,0.0020970844,0.02025896,2.4324868
156000,5.252778919384582e-06,8.799242095847148e-06,1.405202056048438e-05,0.0013193575,0.010828906,0.059699047,2.4323635
157000,4.909340077574598e-06,3.2507750802324153e-06,8.160115612554364e-06,0.0011058851,0.0011005354,0.09237267,2.4079669
158000,5.817908913741121e-06,3.140301851090044e-05,3.722092878888361e-05,0.00087473064,0.0014758995,0.0073159505,2.304954
159000,4.9829181989480276e-06,9.509105439065024e-06,1.4492023183265701e-05,4.226432e-06,0.06380971,0.24696408,2.4027045
160000,4.102415459783515e-06,2.794938609440578e-06,6.897354069224093e-06,0.00027867281,0.0025154995,0.020180793,2.5937665
161000,4.3107297642563935e-06,4.540814643405611e-06,8.851544407662004e-06,0.0006073722,0.0009231549,0.06777123,2.5379677
162000,6.138826847745804e-06,8.725133739062585e-06,1.486396104155574e-05,0.0016974225,0.00040260737,0.3913921,2.2796502
163000,4.5010183384874836e-06,4.1104547563008964e-05,4.5605564082507044e-05,0.00044550284,0.0023881798,0.09823196,2.3998466
164000,3.817973720288137e-06,1.964224338735221e-06,5.782198059023358e-06,0.00037505105,0.0041196756,0.09782878,2.3709788
165000,6.0522224885062315e-06,6.252358616620768e-06,1.2304581105127e-05,0.00015523717,0.006024355,0.018816888,2.7102597
166000,4.463043296709657e-06,5.408504875958897e-06,9.871548172668554e-06,0.00065536407,0.025226736,0.012325103,2.9482524
167000,5.3448952712642495e-06,1.1597585398703814e-05,1.6942480215220712e-05,0.000117338335,0.015173452,0.067814864,2.581072
168000,4.5359051910054404e-06,3.6110050132265314e-06,8.146909749484621e-06,0.00013604376,0.00017375778,0.17265667,2.307907
169000,4.446662842383375e-06,2.727948185565765e-06,7.174610800575465e-06,0.00064301916,0.0019230518,0.022631517,2.5425959
170000,4.49477875008597e-06,2.6120239908777876e-06,7.1068025135900825e-06,0.000714039,0.0016205871,0.02461139,2.5320857
171000,4.869837994192494e-06,2.118618567692465e-06,6.988456334511284e-06,0.00026409767,0.0079814,0.04173316,2.6072075
172000,4.0879381231206935e-06,3.2312050279870164e-06,7.31914315110771e-06,0.00094149477,0.0032789677,0.119289525,2.3536158
173000,5.336223239282845e-06,2.7739906727219932e-05,3.3076128602260724e-05,0.0011541687,0.011929306,0.07128164,2.5745718
174000,4.06088656745851e-06,2.08550500246929e-06,6.1463915699278004e-06,7.791489e-05,0.043365598,17.554153,2.479424
